Team,Player,Year,Set,Card_or_Parallel,Type,Filename,Image_URL
Detroit Lions,Amon-Ra St. Brown,2024,Prizm,Silver Prizm,Parallel,det-amon-ra-st-brown-prizm-silver.jpg,https://kronozio.blob.core.windows.net/images/card/be826aae4b7a4bc389a6f551c5bbdde9_front.jpg
Green Bay Packers,Jordan Love,2024,Donruss,Base,Star,gb-jordan-love-donruss.jpg,https://i5.walmartimages.com/asr/86ea84cf-4a64-44c0-939d-1fca4e0e0685.e13e7d2b2243058689b6401ce6719fd4.jpeg
Houston Texans,C.J. Stroud,2024,Prizm,White Sparkle,SSP,hou-cj-stroud-prizm-white-sparkle.jpg,https://i.ebayimg.com/images/g/MKoAAOSwdiNnyeav/s-l1600.jpg
Indianapolis Colts,Adonai Mitchell,2024,Donruss,Rated Rookie,Rookie,ind-adonai-mitchell-donruss-rated-rookie.jpg,https://i.ebayimg.com/images/g/BxUAAOSwkeRnRz2i/s-l1600.jpg
Jacksonville Jaguars,Brian Thomas Jr.,2024,Select,Concourse Rookie,Rookie,jax-brian-thomas-jr-select-concourse.jpg,https://i.ebayimg.com/images/g/xPgAAeSwJ99omP2I/s-l1200.jpg
Kansas City Chiefs,Xavier Worthy,2024,Prizm,Silver Rookie,Rookie Parallel,kc-xavier-worthy-prizm-silver.jpg,https://i.ebayimg.com/images/g/C1UAAeSwFK5ppSt9/s-l1600.jpg
Las Vegas Raiders,Brock Bowers,2024,Donruss,Rated Rookie #394,Rookie,lv-brock-bowers-donruss-rated-rookie.jpg,https://i.ebayimg.com/images/g/Yl0AAOSwyEtnmSdi/s-l1200.jpg
Los Angeles Chargers,Ladd McConkey,2024,Donruss Optic,Rated Rookie Holo,Rookie Parallel,lac-ladd-mcconkey-optic-rated-rookie-holo.jpg,https://storage.googleapis.com/images.pricecharting.com/corrjot4dqvbanszklfu/1600.jpg
Los Angeles Rams,Puka Nacua,2024,Mosaic,Honeycomb,SSP,lar-puka-nacua-mosaic-honeycomb.jpg,https://i.ebayimg.com/images/g/EoMAAeSwZK1p61kT/s-l1600.jpg
Miami Dolphins,De'Von Achane,2024,Prizm,Choice Blue Yellow Green,Parallel,mia-devon-achane-prizm-choice.jpg,https://i.ebayimg.com/images/g/CugAAOSwWMNnq-5z/s-l1600.jpg
Minnesota Vikings,J.J. McCarthy,2024,Clearly Donruss,Rated Rookie,Rookie,min-jj-mccarthy-clearly-donruss-rated-rookie.webp,https://tools.toywiz.com/_images/_webp/_products/lg/mccarthy61.webp
New England Patriots,Drake Maye,2024,Select,Prizm Rookie,Rookie Parallel,ne-drake-maye-select-prizm.webp,https://i.ebayimg.com/images/g/oUEAAeSwpDhpufZC/s-l1200.webp
New Orleans Saints,Chris Olave,2024,Select,Select Numbers #13,Insert,no-chris-olave-select-numbers.jpg,https://i.ebayimg.com/images/g/rD0AAeSwdk1oYAIH/s-l1200.jpg
New York Giants,Malik Nabers,2024,Mosaic,Silver Rookie,Rookie Parallel,nyg-malik-nabers-mosaic-silver.jpg,https://i.ebayimg.com/images/g/-C8AAeSwsKxpikvK/s-l1600.jpg
New York Jets,Garrett Wilson,2024,Select,Tie-Dye Prizm /25,Parallel,nyj-garrett-wilson-select-tie-dye.jpg,https://i.ebayimg.com/images/g/ZzgAAeSwNSpojNY1/s-l1600.jpg
Philadelphia Eagles,Saquon Barkley,2024,Select,Field Level White /35,Parallel,phi-saquon-barkley-select-field-level-white.jpg,https://i.ebayimg.com/images/g/STsAAOSw33NoP0Js/s-l1600.jpg
Pittsburgh Steelers,T.J. Watt,2024,Prizm,Base,Star,pit-tj-watt-prizm.jpg,https://storage.googleapis.com/images.pricecharting.com/corrztm3i3pynqriv72m/1600.jpg
San Francisco 49ers,Brock Purdy,2024,Donruss,Base,Star,sf-brock-purdy-donruss.webp,https://www.cardcenter.com.br/images/Fotos/brock-purdy-9916232-13838-963.webp
Seattle Seahawks,Jaxon Smith-Njigba,2024,Select,Gold Dragon Scale Prizm,Parallel,sea-jaxon-smith-njigba-select-gold-dragon-scale.jpg,https://storage.googleapis.com/images.pricecharting.com/corrl2kjcqns2x3p7gya/1600.jpg
Tampa Bay Buccaneers,Bucky Irving,2024,Clearly Donruss,Rated Rookie Auto,Rookie Auto,tb-bucky-irving-clearly-donruss-auto.png,https://i.ebayimg.com/images/g/YkQAAOSwQEJoKU76/s-l1200.png
Tennessee Titans,Calvin Ridley,2024,Score,Base,Star,ten-calvin-ridley-score.jpg,https://i.ebayimg.com/images/g/3wAAAOSwQmBnjDDR/s-l1200.png
Washington Commanders,Jayden Daniels,2024,Clearly Donruss,Rated Rookie,Rookie,was-jayden-daniels-clearly-donruss.jpg,https://images.production.sportscardinvestor.com/images/m_card/1118025?ts=1749094393218-S
