cardNumber,v2Player,v2Team,beckettPlayer,beckettTeam,status
264,Kool-Aid McKinstry,New Orleans Saints,,,MISSING_BECKETT
265,Kris Jenkins,Cincinnati Bengals,,,MISSING_BECKETT
266,Ladd McConkey,Los Angeles Chargers,,,MISSING_BECKETT
267,Laiatu Latu,Indianapolis Colts,,,MISSING_BECKETT
268,Luke McCaffrey,Washington Commanders,,,MISSING_BECKETT
269,Maason Smith,Jacksonville Jaguars,,,MISSING_BECKETT
270,Malachi Corley,New York Jets,,,MISSING_BECKETT
271,Malik Nabers,New York Giants,,,MISSING_BECKETT
272,Malik Washington,Miami Dolphins,,,MISSING_BECKETT
273,Marist Liufau,Dallas Cowboys,,,MISSING_BECKETT
274,Marshawn Kneeland,Dallas Cowboys,,,MISSING_BECKETT
275,MarShawn Lloyd,Green Bay Packers,,,MISSING_BECKETT
276,Marvin Harrison Jr.,Arizona Cardinals,,,MISSING_BECKETT
277,Max Melton,Arizona Cardinals,,,MISSING_BECKETT
278,Tory Taylor,Chicago Bears,Tory Taylor,Chicago Bears,MATCH
279,Michael Penix Jr.,Atlanta Falcons,,,MISSING_BECKETT
280,Michael Pratt,Tampa Bay Buccaneers,,,MISSING_BECKETT
281,Nate Wiggins,Baltimore Ravens,,,MISSING_BECKETT
282,Quinyon Mitchell,Philadelphia Eagles,,,MISSING_BECKETT
283,Ray Davis,Buffalo Bills,,,MISSING_BECKETT
284,Ricky Pearsall,San Francisco 49ers,,,MISSING_BECKETT
285,Roman Wilson,Pittsburgh Steelers,,,MISSING_BECKETT
286,Rome Odunze,Chicago Bears,Rome Odunze,Chicago Bears,MATCH
287,Ruke Orhorhoro,Atlanta Falcons,,,MISSING_BECKETT
288,Ryan Flournoy,Dallas Cowboys,,,MISSING_BECKETT
289,Spencer Rattler,New Orleans Saints,,,MISSING_BECKETT
290,Terrion Arnold,Detroit Lions,,,MISSING_BECKETT
291,Theo Johnson,New York Giants,,,MISSING_BECKETT
292,Tip Reiman,Arizona Cardinals,,,MISSING_BECKETT
293,Trey Benson,Arizona Cardinals,,,MISSING_BECKETT
294,Troy Franklin,Denver Broncos,,,MISSING_BECKETT
295,T'Vondre Sweat,Tennessee Titans,,,MISSING_BECKETT
296,Tyler Nubin,New York Giants,,,MISSING_BECKETT
297,Will Reichard,Minnesota Vikings,,,MISSING_BECKETT
298,Will Shipley,Philadelphia Eagles,,,MISSING_BECKETT
299,Xavier Legette,Carolina Panthers,,,MISSING_BECKETT
300,Xavier Worthy,Kansas City Chiefs,Xavier Worthy,Kansas City Chiefs,MATCH
