cardNumber,v2Player,v2Team,tcdbPlayer,tcdbTeam,status
286,Rome Odunze,Chicago Bears,Rome Odunze,Chicago Bears,MATCH
287,Ruke Orhorhoro,Atlanta Falcons,Ruke Orhorhoro,Atlanta Falcons,MATCH
288,Ryan Flournoy,Dallas Cowboys,Ryan Flournoy,Dallas Cowboys,MATCH
289,Spencer Rattler,New Orleans Saints,Spencer Rattler,New Orleans Saints,MATCH
290,Terrion Arnold,Detroit Lions,Terrion Arnold,Detroit Lions,MATCH
291,Theo Johnson,New York Giants,Theo Johnson,New York Giants,MATCH
292,Tip Reiman,Arizona Cardinals,Tip Reiman,Arizona Cardinals,MATCH
293,Trey Benson,Arizona Cardinals,Trey Benson,Arizona Cardinals,MATCH
294,Troy Franklin,Denver Broncos,Troy Franklin,Denver Broncos,MATCH
295,T'Vondre Sweat,Tennessee Titans,T'Vondre Sweat,Tennessee Titans,MATCH
296,Tyler Nubin,New York Giants,Tyler Nubin,New York Giants,MATCH
297,Will Reichard,Minnesota Vikings,Will Reichard,Minnesota Vikings,MATCH
298,Will Shipley,Philadelphia Eagles,Will Shipley,Philadelphia Eagles,MATCH
299,Xavier Legette,Carolina Panthers,Xavier Legette,Carolina Panthers,MATCH
300,Xavier Worthy,Kansas City Chiefs,Xavier Worthy,Kansas City Chiefs,MATCH
