card_number,player,team,rookie,source
381,Quinyon Mitchell,Philadelphia Eagles,TRUE,SetList/GTS
382,Ray Davis,Buffalo Bills,TRUE,SetList/GTS
383,Ricky Pearsall,San Francisco 49ers,TRUE,SetList/GTS
384,Roman Wilson,Pittsburgh Steelers,TRUE,SetList/GTS
385,Rome Odunze,Chicago Bears,TRUE,SetList/GTS
386,Ruke Orhorhoro,Atlanta Falcons,TRUE,SetList/GTS
387,Ryan Flournoy,Dallas Cowboys,TRUE,SetList/GTS
388,Spencer Rattler,New Orleans Saints,TRUE,SetList/GTS
389,Terrion Arnold,Detroit Lions,TRUE,SetList/GTS
390,Theo Johnson,New York Giants,TRUE,SetList/GTS
391,Tip Reiman,Arizona Cardinals,TRUE,SetList/GTS
392,Trey Benson,Arizona Cardinals,TRUE,SetList/GTS
393,Troy Franklin,Denver Broncos,TRUE,SetList/GTS
394,T'Vondre Sweat,Tennessee Titans,TRUE,SetList/GTS
395,Tyler Nubin,New York Giants,TRUE,SetList/GTS
396,Will Reichard,Minnesota Vikings,TRUE,SetList/GTS
397,Will Shipley,Philadelphia Eagles,TRUE,SetList/GTS
398,Xavier Legette,Carolina Panthers,TRUE,SetList/GTS
399,Xavier Worthy,Kansas City Chiefs,TRUE,SetList/GTS
400,J.J. McCarthy,Minnesota Vikings,TRUE,SetList/GTS
