cardNumber,player,team,source1Status,source2Evidence,verificationStatus
242,Jared Verse,Los Angeles Rams,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
243,Jase McClellan,Atlanta Falcons,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
244,Ja'Tavion Sanders,Carolina Panthers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
245,Javon Baker,New England Patriots,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
246,Javon Bullard,Green Bay Packers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
247,Jawhar Jordan,Houston Texans,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
248,Jayden Daniels,Washington Commanders,Checklist Insider (source1),"Beckett-domain search attempted, no clean/unambiguous per-card confirmation returned (one query for #300 returned a conflicting answer citing a different card number for the same player - treated as inconclusive, not confirming).",NEEDS_REVIEW
249,Jaylen Wright,Miami Dolphins,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
250,Jeremiah Trotter Jr.,Philadelphia Eagles,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
251,Jermaine Burton,Cincinnati Bengals,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
252,Jer'Zhan Newton,Washington Commanders,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
253,Jha'Quan Jackson,Tennessee Titans,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
254,Joe Alt,Los Angeles Chargers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
255,Joe Milton III,New England Patriots,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
256,Johnny Wilson,Philadelphia Eagles,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
257,Jonah Elliss,Denver Broncos,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
258,Jonathon Brooks,Carolina Panthers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
259,Tyrone Tracy Jr.,New York Giants,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
260,Jordan Travis,New York Jets,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
261,Kamari Lassiter,Houston Texans,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
262,Kimani Vidal,Los Angeles Chargers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
263,Keon Coleman,Buffalo Bills,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
264,Kool-Aid McKinstry,New Orleans Saints,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
265,Kris Jenkins,Cincinnati Bengals,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
266,Ladd McConkey,Los Angeles Chargers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
267,Laiatu Latu,Indianapolis Colts,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
268,Luke McCaffrey,Washington Commanders,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
269,Maason Smith,Jacksonville Jaguars,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
270,Malachi Corley,New York Jets,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
271,Malik Nabers,New York Giants,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
272,Malik Washington,Miami Dolphins,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
273,Marist Liufau,Dallas Cowboys,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
274,Marshawn Kneeland,Dallas Cowboys,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
275,MarShawn Lloyd,Green Bay Packers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
276,Marvin Harrison Jr.,Arizona Cardinals,Checklist Insider (source1),"Beckett-domain search (beckett.com) independently returned card #276 = Marvin Harrison Jr., Arizona Cardinals, sourced from Beckett's own 2024 Donruss Optic checklist/team-set content, not Checklist Insider.",VERIFIED_TWO_SOURCE
277,Max Melton,Arizona Cardinals,Checklist Insider (source1),"Beckett-domain search independently returned card #277 = Max Melton, Arizona Cardinals (including a /60 parallel print run detail), sourced from Beckett's own checklist content.",VERIFIED_TWO_SOURCE
278,Tory Taylor,Chicago Bears,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
279,Michael Penix Jr.,Atlanta Falcons,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
280,Michael Pratt,Tampa Bay Buccaneers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
281,Nate Wiggins,Baltimore Ravens,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
282,Quinyon Mitchell,Philadelphia Eagles,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
283,Ray Davis,Buffalo Bills,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
284,Ricky Pearsall,San Francisco 49ers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
285,Roman Wilson,Pittsburgh Steelers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
286,Rome Odunze,Chicago Bears,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
287,Ruke Orhorhoro,Atlanta Falcons,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
288,Ryan Flournoy,Dallas Cowboys,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
289,Spencer Rattler,New Orleans Saints,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
290,Terrion Arnold,Detroit Lions,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
291,Theo Johnson,New York Giants,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
292,Tip Reiman,Arizona Cardinals,Checklist Insider (source1),"Beckett-domain search independently returned card #292 = Tip Reiman, Arizona Cardinals, sourced from Beckett's own checklist content across multiple Optic parallel pages.",VERIFIED_TWO_SOURCE
293,Trey Benson,Arizona Cardinals,Checklist Insider (source1),"Beckett-domain search attempted, no clean/unambiguous per-card confirmation returned (one query for #300 returned a conflicting answer citing a different card number for the same player - treated as inconclusive, not confirming).",NEEDS_REVIEW
294,Troy Franklin,Denver Broncos,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
295,T'Vondre Sweat,Tennessee Titans,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
296,Tyler Nubin,New York Giants,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
297,Will Reichard,Minnesota Vikings,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
298,Will Shipley,Philadelphia Eagles,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
299,Xavier Legette,Carolina Panthers,Checklist Insider (source1),Not attempted this pass,VERIFIED_ONE_SOURCE
300,Xavier Worthy,Kansas City Chiefs,Checklist Insider (source1),"Beckett-domain search attempted, no clean/unambiguous per-card confirmation returned (one query for #300 returned a conflicting answer citing a different card number for the same player - treated as inconclusive, not confirming).",NEEDS_REVIEW
