category,card_number,player_or_subject,team,notes,source
Color Blast Duals,3,"Brian Thomas Jr. / Trevor Lawrence",Jacksonville Jaguars,"15-card dual SSP insert",ChecklistCenter
Color Blast Duals,4,"Laiatu Latu / Zaire Franklin",Indianapolis Colts,"15-card dual SSP insert",ChecklistCenter
Color Blast Duals,5,"Christian McCaffrey / Ricky Pearsall",San Francisco 49ers,"15-card dual SSP insert",ChecklistCenter
Color Blast Duals,6,"Patrick Mahomes II / Xavier Worthy",Kansas City Chiefs,"15-card dual SSP insert",ChecklistCenter
Color Blast Duals,7,"D'Andre Swift / Rome Odunze",Chicago Bears,"15-card dual SSP insert",ChecklistCenter
Color Blast Duals,8,"Josh Allen / Keon Coleman",Buffalo Bills,"15-card dual SSP insert",ChecklistCenter
Color Blast Duals,9,"Josh Jacobs / MarShawn Lloyd",Green Bay Packers,"15-card dual SSP insert",ChecklistCenter
Color Blast Duals,10,"Aaron Rodgers / Malachi Corley",New York Jets,"15-card dual SSP insert",ChecklistCenter
Color Blast Duals,11,"Jayden Daniels / Terry McLaurin",Washington Commanders,"15-card dual SSP insert",ChecklistCenter
Color Blast Duals,12,"Jermaine Burton / Joe Burrow",Cincinnati Bengals,"15-card dual SSP insert",ChecklistCenter
Color Blast Duals,13,"Bryce Young / Xavier Legette",Carolina Panthers,"15-card dual SSP insert",ChecklistCenter
Color Blast Duals,14,"Baker Mayfield / Bucky Irving",Tampa Bay Buccaneers,"15-card dual SSP insert",ChecklistCenter
Color Blast Duals,15,"Bo Nix / Courtland Sutton",Denver Broncos,"15-card dual SSP insert",ChecklistCenter
Manga Horizontal,1,Malik Nabers,New York Giants,"15-card SSP insert",ChecklistCenter
Manga Horizontal,2,Xavier Worthy,Kansas City Chiefs,"15-card SSP insert",ChecklistCenter
Manga Horizontal,3,Brock Bowers,Las Vegas Raiders,"15-card SSP insert",ChecklistCenter
Manga Horizontal,4,Blake Corum,Los Angeles Rams,"15-card SSP insert",ChecklistCenter
Manga Horizontal,5,Keon Coleman,Buffalo Bills,"15-card SSP insert",ChecklistCenter
Manga Horizontal,6,Brian Thomas Jr.,Jacksonville Jaguars,"15-card SSP insert",ChecklistCenter
Manga Horizontal,7,Jordan Love,Green Bay Packers,"15-card SSP insert",ChecklistCenter
Manga Horizontal,8,Joe Burrow,Cincinnati Bengals,"15-card SSP insert",ChecklistCenter
Manga Horizontal,9,C.J. Stroud,Houston Texans,"15-card SSP insert",ChecklistCenter
Manga Horizontal,10,Puka Nacua,Los Angeles Rams,"15-card SSP insert",ChecklistCenter
Manga Horizontal,11,Joe Greene,Pittsburgh Steelers,"15-card SSP insert",ChecklistCenter
Manga Horizontal,12,Brett Favre,Green Bay Packers,"15-card SSP insert",ChecklistCenter
Manga Horizontal,13,Tyreek Hill,Miami Dolphins,"15-card SSP insert",ChecklistCenter
Manga Horizontal,14,Peyton Manning,Denver Broncos,"15-card SSP insert",ChecklistCenter
Manga Horizontal,15,Terry Bradshaw,Pittsburgh Steelers,"15-card SSP insert",ChecklistCenter
Manga Vertical,1,Caleb Williams,Chicago Bears,"15-card SSP insert",ChecklistCenter
Manga Vertical,2,Drake Maye,New England Patriots,"15-card SSP insert",ChecklistCenter
Manga Vertical,3,Bo Nix,Denver Broncos,"15-card SSP insert",ChecklistCenter
Manga Vertical,4,Jayden Daniels,Washington Commanders,"15-card SSP insert",ChecklistCenter
Manga Vertical,5,Marvin Harrison Jr.,Arizona Cardinals,"15-card SSP insert",ChecklistCenter
Manga Vertical,6,J.J. McCarthy,Minnesota Vikings,"15-card SSP insert",ChecklistCenter
Manga Vertical,7,Michael Penix Jr.,Atlanta Falcons,"15-card SSP insert",ChecklistCenter
Manga Vertical,8,Rome Odunze,Chicago Bears,"15-card SSP insert",ChecklistCenter
Manga Vertical,9,Patrick Mahomes II,Kansas City Chiefs,"15-card SSP insert",ChecklistCenter
Manga Vertical,10,Brock Purdy,San Francisco 49ers,"15-card SSP insert",ChecklistCenter
Manga Vertical,11,Travis Kelce,Kansas City Chiefs,"15-card SSP insert",ChecklistCenter
Manga Vertical,12,Christian McCaffrey,San Francisco 49ers,"15-card SSP insert",ChecklistCenter
Manga Vertical,13,Deion Sanders,Atlanta Falcons,"15-card SSP insert",ChecklistCenter
Manga Vertical,14,Terrell Owens,Dallas Cowboys,"15-card SSP insert",ChecklistCenter
Manga Vertical,15,Troy Polamalu,Pittsburgh Steelers,"15-card SSP insert",ChecklistCenter
